id,screen,element,english,evidence,source,note
FG-05,First launch — ARIA guidance choice,Three support-level headings,SUPPORT LEVEL,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-06,First launch — ARIA guidance choice,Support-level values,HIGH; MEDIUM; LOW,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-07,First launch — ARIA guidance choice,Subtitle setting label,SUBTITLES,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-08,First launch — ARIA guidance choice,Subtitle setting explanation,Show dialogue subtitles.,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-09,First launch — ARIA guidance choice,Reduced-motion setting label,REDUCED MOTION,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-10,First launch — ARIA guidance choice,Reduced-motion explanation,Minimize camera movement.,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-11,First launch — ARIA guidance choice,Both setting toggles,ON,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-12,First launch — ARIA guidance choice,Previous button,‹       PREV,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
LD-01,Splash / loading / return transition,Progress status,Preparing command interface,Source,L1,Initial fallback before progress arrives. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-02,Splash / loading / return transition,Progress status,Loading command shell,Source,L2,Startup/menu loading. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-03,Splash / loading / return transition,Progress status,Command shell ready,Source,L2 / L3,End of startup or return to menu. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-04,Splash / loading / return transition,Progress status,Preparing match load,Source,L3,Match route accepted before scene-load progress is available. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-05,Splash / loading / return transition,Progress status,Loading operation interface,Live,L4,Observed during M2 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-06,Splash / loading / return transition,Progress status,Loading match,Live,L3,Observed during M1 and M2 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-07,Splash / loading / return transition,Progress status,Loading map presentation,Live,L3,Observed during M1 and M2 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-08,Splash / loading / return transition,Progress status,Preparing match,Live,L5,Observed during M1 and M2 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-09,Splash / loading / return transition,Progress status,Preparing gameplay runtime,Source,L5,Startup step; may be shorter than the sampler interval. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-10,Splash / loading / return transition,Progress status,Resetting match state,Live,L5,Observed during M1 and M2 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-11,Splash / loading / return transition,Progress status,Preparing map data,Live,L5,Observed during M1 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-12,Splash / loading / return transition,Progress status,Preparing unit prefabs,Live,L5,Observed during M2 entry. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-13,Splash / loading / return transition,Progress status,Preparing AI factions,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-14,Splash / loading / return transition,Progress status,Preparing resource exchange,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-15,Splash / loading / return transition,Progress status,Binding match HUD,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-16,Splash / loading / return transition,Progress status,Starting gameplay systems,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-17,Splash / loading / return transition,Progress status,Validating scenario recovery,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-18,Splash / loading / return transition,Progress status,Waiting for scenario catalog,Source,L5,Conditional startup wait. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-19,Splash / loading / return transition,Progress status,Focusing camera,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-20,Splash / loading / return transition,Progress status,Spawning world,Source,L5,Startup step. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-21,Splash / loading / return transition,Progress status,Starting match,Source,L3,Fallback while startup is incomplete. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-22,Splash / loading / return transition,Progress status,Match ready,Live,L3,Observed at the end of M1/M2 loading. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-23,Splash / loading / return transition,Progress status,Unloading map presentation,Source,L3,Return from a match; presentation drain. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-24,Splash / loading / return transition,Progress status,Unloading operation map,Source,L3,Return from a match; operation-map unload. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-25,Splash / loading / return transition,Progress status,Unloading match,Source,L3,Return from a match; scene unload. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-26,Splash / loading / return transition,Progress status,Map unload failed: {detail},Source,L3,Conditional failure. English prefix plus raw failure detail; not induced during this audit. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
LD-27,Splash / loading / return transition,Progress status,Preparing opening briefing,Source,L4,First-launch EnterMission startup disposition; not sampled in the replay-based live runs. No matching Farsi translation for this emitted status was found. Decorative loading labels and the authored tip are separate and have translations.
MN-01,Commander profile,Commander subtitle,VICTORY IS PLANNED,Live,M1,Runtime profile binding writes an untranslated motto. Default main-menu navigation itself did not show another English copy gap in the sampled state.
CH-01,Campaign — chapter selection,Character labels,SAMIRA; DALIA,Review,C1 / LC,Observed in the current-mission character strip. The Farsi catalog deliberately repeats the Latin source values; consistency with Farsi narrative names needs a content decision.
CH-02,Campaign — chapter selection,ARIA protocol heading,ARIA,Review,C1 / LC,"The surrounding heading is Farsi, but ARIA remains Latin. Other screens use آریا. Keep separate from missing instruction translations."
MS1-01,Campaign — M1 selected,Summary,Secure the Old Market corridor and protect the civilian route.,Live,C2 / C3,mission.m01.summary falls back to English.
MS1-02,Campaign — M1 selected,Reward strip,"260 XP  |  1,200 CREDITS",Live,C2 / C3,mission.m01.reward.card is absent from the shared locale table.
MS1-03,Campaign — M1 selected,Objective card,PROTECT CIVILIANS,Live,C2 / C3,Exact runtime source phrase is not translated.
MS1-04,Campaign — M1 selected,Objective card,KEEP SQUAD SAFE,Live,C2 / C3,Exact runtime source phrase is not translated.
MS2-01,Campaign — M2 selected,Summary,Reopen an abandoned forward post before a second hostile cell reaches it.,Live,C2 / C3,Runtime wording differs from the translated authored prefab summary.
MS2-02,Campaign — M2 selected,Reward strip,"320 XP  |  1,500 CREDITS  |  BARRACKS UNLOCK",Live,C2 / C3,mission.m02.reward.card is absent from the shared locale table.
MB1-01,M1 mission briefing,Mission summary,Secure the Old Market corridor and protect the civilian route.,Live,B1,Observed through Campaign → M1 → Start Briefing; shares missing runtime mission copy with the mission-select screen.
MB1-02,M1 mission briefing,Protect-squad objective,KEEP THE COMMAND SQUAD ALIVE,Live,B1,The full text is English; the rendered narrow row truncates it to KEEP THE COMMAND SQUAD….
MB2-01,M2 mission briefing,Mission summary,Reopen the abandoned JRC forward post before the Ash Line reaches it. Establish a foothold and prepare for incoming threats.,Live,B1,"Authored source text has a Farsi catalog counterpart, but the runtime briefing still displays the English paragraph. This is a presentation/binding issue, not simply an absent authored translation."
AH-01,M1 / M2 match HUD — ARIA,Ownership / preview state,PLAYER CONTROL,Live,H1 / H2,Displayed when the tutorial card yields to ownership/preview state. PLAYER CONTROL has a catalog translation but is still written directly to this surface; the other exact phrases have no source translation.
AH-02,M1 / M2 match HUD — ARIA,Ownership / preview state,ARIA CONTROL,Live,H1 / H2,Displayed when the tutorial card yields to ownership/preview state. PLAYER CONTROL has a catalog translation but is still written directly to this surface; the other exact phrases have no source translation.
AH-03,M1 / M2 match HUD — ARIA,Ownership / preview state,PREVIEW,Live,H1 / H2,Displayed when the tutorial card yields to ownership/preview state. PLAYER CONTROL has a catalog translation but is still written directly to this surface; the other exact phrases have no source translation.
BU-01,M2 Build popup,Building list title and selected-item title,Barracks,Live,U1 / U2 / U3,Title-case catalog display name remains English. An uppercase BARRACKS catalog translation does not cover the emitted title-case value.
BU-02,M2 Build popup,Building role subtitle,STRUCTURE,Live,U1 / U2 / U3,Runtime metadata role has no exact source translation.
BU-03,M2 Build popup,Build instruction / placement-request message,Barracks,Live,U1 / U2 / U3,"English item name is inserted into otherwise Farsi instructions, including the Place/choose-location prompt."
BU-04,M2 Build popup,Empty selection requirements,No requestable items.,Live,U1 / U2 / U3,Observed before selecting an item and when switching category; differs from the translated longer empty-category strings.
BU-05,M2 Build popup,Soldier primary action button,RECRUIT,Live,U1 / U2 / U3,Uppercase action label remains English; the normal Recruit verb translation does not cover it.
BU-06,M2 Build popup,Soldier instruction and recruitment confirmation,Rifleman Male IV,Live,U1 / U2 / U3,English metadata name remains inside otherwise Farsi messages; the card title and detail name themselves display تفنگدار مرد ۴.
BU-07,M2 Build popup,Not-enough-materials instruction,insufficient materials.,Live,U1 / U2 / U3,"Observed after placing the Barracks and reopening Build. The sentence is partly Farsi, with an English reason and Barracks name."
BU-08,M2 Build popup — conditional errors,Request/requirements failure,Insufficient materials.,Source,U2,Short requirement error has no Farsi key build.drawer.failure.short.insufficient_materials. Branch inspected; not all shortages were forced in the live audit.
BU-09,M2 Build popup — conditional errors,Request/requirements failure,Insufficient credits and materials.,Source,U2,Short requirement error has no Farsi key build.drawer.failure.short.insufficient_credits_and_materials. Branch inspected; not all shortages were forced in the live audit.
BU-10,M2 Build popup — conditional errors,Request/requirements failure,Cannot {verb} {item}: insufficient credits.,Source,U2,Missing build.drawer.failure.insufficient_credits. A broader translated template can translate the sentence wrapper while preserving the English reason. Branch inspected; not all shortages were forced in the live audit.
BU-11,M2 Build popup — conditional errors,Request/requirements failure,Cannot {verb} {item}: insufficient credits and materials.,Source,U2,Missing build.drawer.failure.insufficient_credits_and_materials; the reason remains English inside the broader translated wrapper. Branch inspected; not all shortages were forced in the live audit.
PL-01,M2 building placement,Building title,BARRACKS,Live,P1,Appears within the Farsi BUILD title; captured output still contains an English building name.
PL-02,M2 building placement,Valid-location status,"VALID PLACEMENT (1006,330) 40X20",Live,P1 / P2,Coordinates and footprint vary. The English status phrase survives the runtime status formatter.
PL-03,M2 building placement,Invalid-location status,"BLOCKED BY ROAD OR BLOCKER ({x},{y}) {width}X{height}",Source,P1 / P2,Same status path as PL-02. Invalid placement is English at source and no matching translated status template was found; this audit did not perform a new invalid-confirm attempt.
SE-01,M2 selected-building panel,Selection title,"Barracks (1006,330)",Live,P2,The building name is concatenated with coordinates; this composed title remains English.
RE1-01,M1 victory result,Outcome sentence,Hostile patrol neutralized. The Old Market corridor is secure.,Live,R1,Observed after the M1 tutorial/command walkthrough reached victory.
RE2-01,M2 victory result,Mission identity heading,"M02 ESTABLISH THE BASE
FORWARD POST",Live,R1 / R2,Both title and location remain English. M02 itself is an intentional mission code.
RE2-02,M2 victory result,First-clear outcome paragraph,Forward post operational. Dalia Rahim accepts field-lead duty. The clinic-route warning sector has gone dark.,Live,R1,Observed after the M2 build/recruit walkthrough reached its result.
RE2-03,M2 victory result,Unlock reward,BARRACKS UNLOCK,Live,R1 / R2,Displayed alongside +1. XP and credit reward labels in this result already translate.
RE2-04,M2 replay victory result,Replay outcome,Forward post defended. The clinic route remains under coalition control.,Source,R1 / R2,Replay-specific branch; not separately played to victory. Exact English source has no matching Farsi translation; defeat was not deliberately triggered.
RF-01,M1 / M2 defeat result,Mission status,COMMAND SQUAD LOST,Source,R1 / R2,Shared loss presentation. Exact English source has no matching Farsi translation; defeat was not deliberately triggered.
RF-02,M1 / M2 defeat result,Objective status labels,FAILED,Source,R1 / R2,Written to both patrol and squad result rows. Exact English source has no matching Farsi translation; defeat was not deliberately triggered.
RF-03,M1 / M2 defeat result,Civilian status,AT RISK,Source,R1 / R2,Shared loss presentation. Exact English source has no matching Farsi translation; defeat was not deliberately triggered.
RF-04,M1 defeat result,Outcome sentence,The command squad was lost. Regroup and redeploy.,Source,R1 / R2,M1 loss summary. Exact English source has no matching Farsi translation; defeat was not deliberately triggered.
RF-05,M2 defeat result,Outcome sentence,The forward post fell before the defense was secured. Rebuild and redeploy.,Source,R1 / R2,M2 loss summary. Exact English source has no matching Farsi translation; defeat was not deliberately triggered.
