mission_id,code,title,district_id,district,local_slot,family,scenario_id,operation_map_id,force_package,enemy_profile,hard_deadline_seconds,prerequisite,min_intel,canonical_seed,delivery_batch,brief,implementation_status,manual_acceptance,aria_win_acceptance,persistence_acceptance,device_acceptance,evidence_path
operation.o011,O011,Signals Across the Plaza,district.operations.d02,Civic Center,1,RECON,scenario.operations.o011,opmap.operations.civic_center,FP_LIGHT,EP_CELL,720,Start: no mission prerequisite,0,1112,B12,Missions/D02_civic_center.md#o011--signals-across-the-plaza,Planned,Pending,Pending,Pending,Pending,
operation.o012,O012,Shelter Access,district.operations.d02,Civic Center,2,PATROL,scenario.operations.o012,opmap.operations.civic_center,FP_LIGHT,EP_CELL,780,Start: no mission prerequisite,0,1113,B12,Missions/D02_civic_center.md#o012--shelter-access,Planned,Pending,Pending,Pending,Pending,
operation.o013,O013,Backup Power,district.operations.d02,Civic Center,3,REPAIR,scenario.operations.o013,opmap.operations.civic_center,FP_SERVICE,EP_RAIDERS,900,Any attempt of local slot 1 or 2,0,1114,B30,Missions/D02_civic_center.md#o013--backup-power,Planned,Pending,Pending,Pending,Pending,
operation.o014,O014,Archives Transfer,district.operations.d02,Civic Center,4,ESCORT,scenario.operations.o014,opmap.operations.civic_center,FP_SERVICE,EP_RAIDERS,840,Any attempt of local slot 1 or 2,0,1115,B30,Missions/D02_civic_center.md#o014--archives-transfer,Planned,Pending,Pending,Pending,Pending,
operation.o015,O015,Shelter Evacuation,district.operations.d02,Civic Center,5,RESCUE,scenario.operations.o015,opmap.operations.civic_center,FP_SERVICE,EP_RAIDERS,900,Any attempt of local slot 1 or 2,0,1116,B30,Missions/D02_civic_center.md#o015--shelter-evacuation,Planned,Pending,Pending,Pending,Pending,
operation.o016,O016,Service Annex Raid,district.operations.d02,Civic Center,6,RAID,scenario.operations.o016,opmap.operations.civic_center,FP_GROUND,EP_RAIDERS,960,Two Victories among local slots 1â€“5,40,1117,B60,Missions/D02_civic_center.md#o016--service-annex-raid,Planned,Pending,Pending,Pending,Pending,
operation.o017,O017,Public Square Hold,district.operations.d02,Civic Center,7,SEIZE,scenario.operations.o017,opmap.operations.civic_center,FP_GROUND,EP_MECHANIZED,960,Two Victories among local slots 1â€“5,0,1118,B60,Missions/D02_civic_center.md#o017--public-square-hold,Planned,Pending,Pending,Pending,Pending,
operation.o018,O018,Rooftop Landing Zone,district.operations.d02,Civic Center,8,AIRLIFT,scenario.operations.o018,opmap.operations.civic_center,FP_AIR,EP_AIRFIELD,1020,Two Victories among local slots 1â€“5,0,1119,B60,Missions/D02_civic_center.md#o018--rooftop-landing-zone,Planned,Pending,Pending,Pending,Pending,
operation.o019,O019,Hospital Service Watch,district.operations.d02,Civic Center,9,DEFENSE,scenario.operations.o019,opmap.operations.civic_center,FP_GROUND,EP_MECHANIZED,960,Two Victories among local slots 1â€“5,0,1120,B60,Missions/D02_civic_center.md#o019--hospital-service-watch,Planned,Pending,Pending,Pending,Pending,
operation.o020,O020,Civic Services Restored,district.operations.d02,Civic Center,10,FINALE,scenario.operations.o020,opmap.operations.civic_center,FP_COMBINED,EP_FINALE,1200,Victory O013/O016/O019,0,1121,B60,Missions/D02_civic_center.md#o020--civic-services-restored,Planned,Pending,Pending,Pending,Pending,
operation.o021,O021,Freight Ledger,district.operations.d03,Industrial Belt,1,RECON,scenario.operations.o021,opmap.operations.industrial_belt,FP_LIGHT,EP_CELL,780,Start: no mission prerequisite,0,1122,B12,Missions/D03_industrial_belt.md#o021--freight-ledger,Planned,Pending,Pending,Pending,Pending,
operation.o022,O022,Workshop Convoy,district.operations.d03,Industrial Belt,2,ESCORT,scenario.operations.o022,opmap.operations.industrial_belt,FP_SERVICE,EP_RAIDERS,900,Start: no mission prerequisite,0,1123,B12,Missions/D03_industrial_belt.md#o022--workshop-convoy,Planned,Pending,Pending,Pending,Pending,
operation.o023,O023,Three Service Stations,district.operations.d03,Industrial Belt,3,REPAIR,scenario.operations.o023,opmap.operations.industrial_belt,FP_SERVICE,EP_RAIDERS,1020,Any attempt of local slot 1 or 2,0,1124,B30,Missions/D03_industrial_belt.md#o023--three-service-stations,Planned,Pending,Pending,Pending,Pending,
operation.o024,O024,Loading Yard Workers,district.operations.d03,Industrial Belt,4,RESCUE,scenario.operations.o024,opmap.operations.industrial_belt,FP_SERVICE,EP_RAIDERS,900,Any attempt of local slot 1 or 2,0,1125,B30,Missions/D03_industrial_belt.md#o024--loading-yard-workers,Planned,Pending,Pending,Pending,Pending,
operation.o025,O025,Fuel Route Interdiction,district.operations.d03,Industrial Belt,5,INTERDICT,scenario.operations.o025,opmap.operations.industrial_belt,FP_GROUND,EP_MECHANIZED,900,Any attempt of local slot 1 or 2,0,1126,B30,Missions/D03_industrial_belt.md#o025--fuel-route-interdiction,Planned,Pending,Pending,Pending,Pending,
operation.o026,O026,Depot Gate,district.operations.d03,Industrial Belt,6,BREACH,scenario.operations.o026,opmap.operations.industrial_belt,FP_GROUND,EP_MECHANIZED,1020,Two Victories among local slots 1â€“5,40,1127,B60,Missions/D03_industrial_belt.md#o026--depot-gate,Planned,Pending,Pending,Pending,Pending,
operation.o027,O027,Freight Junction,district.operations.d03,Industrial Belt,7,SEIZE,scenario.operations.o027,opmap.operations.industrial_belt,FP_GROUND,EP_MECHANIZED,960,Two Victories among local slots 1â€“5,0,1128,B60,Missions/D03_industrial_belt.md#o027--freight-junction,Planned,Pending,Pending,Pending,Pending,
operation.o028,O028,Supply Office Records,district.operations.d03,Industrial Belt,8,RAID,scenario.operations.o028,opmap.operations.industrial_belt,FP_LIGHT,EP_CELL,840,Two Victories among local slots 1â€“5,40,1129,B60,Missions/D03_industrial_belt.md#o028--supply-office-records,Planned,Pending,Pending,Pending,Pending,
operation.o029,O029,Workshop Night Watch,district.operations.d03,Industrial Belt,9,DEFENSE,scenario.operations.o029,opmap.operations.industrial_belt,FP_GROUND,EP_MECHANIZED,1020,Two Victories among local slots 1â€“5,0,1130,B60,Missions/D03_industrial_belt.md#o029--workshop-night-watch,Planned,Pending,Pending,Pending,Pending,
operation.o030,O030,Industrial Restart,district.operations.d03,Industrial Belt,10,FINALE,scenario.operations.o030,opmap.operations.industrial_belt,FP_COMBINED,EP_FINALE,1200,Victory O023/O026/O029,0,1131,B60,Missions/D03_industrial_belt.md#o030--industrial-restart,Planned,Pending,Pending,Pending,Pending,
operation.o031,O031,Crossing Survey,district.operations.d04,River Crossing,1,RECON,scenario.operations.o031,opmap.operations.river_crossing,FP_LIGHT,EP_CELL,780,Start: no mission prerequisite,0,1132,B12,Missions/D04_river_crossing.md#o031--crossing-survey,Planned,Pending,Pending,Pending,Pending,
operation.o032,O032,Quayside Evacuation,district.operations.d04,River Crossing,2,RESCUE,scenario.operations.o032,opmap.operations.river_crossing,FP_SERVICE,EP_RAIDERS,960,Start: no mission prerequisite,0,1133,B12,Missions/D04_river_crossing.md#o032--quayside-evacuation,Planned,Pending,Pending,Pending,Pending,
operation.o033,O033,Crossing Service Post,district.operations.d04,River Crossing,3,REPAIR,scenario.operations.o033,opmap.operations.river_crossing,FP_SERVICE,EP_RAIDERS,960,Any attempt of local slot 1 or 2,0,1134,B30,Missions/D04_river_crossing.md#o033--crossing-service-post,Planned,Pending,Pending,Pending,Pending,
operation.o034,O034,Cross-River Aid,district.operations.d04,River Crossing,4,ESCORT,scenario.operations.o034,opmap.operations.river_crossing,FP_SERVICE,EP_RAIDERS,960,Any attempt of local slot 1 or 2,0,1135,B30,Missions/D04_river_crossing.md#o034--cross-river-aid,Planned,Pending,Pending,Pending,Pending,
operation.o035,O035,Quay Road Patrol,district.operations.d04,River Crossing,5,PATROL,scenario.operations.o035,opmap.operations.river_crossing,FP_LIGHT,EP_CELL,840,Any attempt of local slot 1 or 2,0,1136,B30,Missions/D04_river_crossing.md#o035--quay-road-patrol,Planned,Pending,Pending,Pending,Pending,
operation.o036,O036,Warehouse Gate,district.operations.d04,River Crossing,6,BREACH,scenario.operations.o036,opmap.operations.river_crossing,FP_GROUND,EP_MECHANIZED,1020,Two Victories among local slots 1â€“5,40,1137,B60,Missions/D04_river_crossing.md#o036--warehouse-gate,Planned,Pending,Pending,Pending,Pending,
operation.o037,O037,Twin Crossing Control,district.operations.d04,River Crossing,7,SEIZE,scenario.operations.o037,opmap.operations.river_crossing,FP_GROUND,EP_MECHANIZED,1020,Two Victories among local slots 1â€“5,0,1138,B60,Missions/D04_river_crossing.md#o037--twin-crossing-control,Planned,Pending,Pending,Pending,Pending,
operation.o038,O038,River Road Cutoff,district.operations.d04,River Crossing,8,INTERDICT,scenario.operations.o038,opmap.operations.river_crossing,FP_GROUND,EP_MECHANIZED,900,Two Victories among local slots 1â€“5,0,1139,B60,Missions/D04_river_crossing.md#o038--river-road-cutoff,Planned,Pending,Pending,Pending,Pending,
operation.o039,O039,Crossing Relief Convoy,district.operations.d04,River Crossing,9,ESCORT,scenario.operations.o039,opmap.operations.river_crossing,FP_GROUND,EP_MECHANIZED,1020,Two Victories among local slots 1â€“5,0,1140,B60,Missions/D04_river_crossing.md#o039--crossing-relief-convoy,Planned,Pending,Pending,Pending,Pending,
operation.o040,O040,River Lifeline,district.operations.d04,River Crossing,10,FINALE,scenario.operations.o040,opmap.operations.river_crossing,FP_COMBINED,EP_FINALE,1200,Victory O033/O036/O039,0,1141,B60,Missions/D04_river_crossing.md#o040--river-lifeline,Planned,Pending,Pending,Pending,Pending,
operation.o041,O041,Ridge Signals,district.operations.d05,Highland Approach,1,RECON,scenario.operations.o041,opmap.operations.highland_approach,FP_LIGHT,EP_CELL,840,Start: no mission prerequisite,0,1142,B12,Missions/D05_highland_approach.md#o041--ridge-signals,Planned,Pending,Pending,Pending,Pending,
operation.o042,O042,Switchback Patrol,district.operations.d05,Highland Approach,2,PATROL,scenario.operations.o042,opmap.operations.highland_approach,FP_LIGHT,EP_CELL,900,Start: no mission prerequisite,0,1143,B12,Missions/D05_highland_approach.md#o042--switchback-patrol,Planned,Pending,Pending,Pending,Pending,
operation.o043,O043,Remote Service Link,district.operations.d05,Highland Approach,3,REPAIR,scenario.operations.o043,opmap.operations.highland_approach,FP_SERVICE,EP_RAIDERS,1020,Any attempt of local slot 1 or 2,0,1144,B30,Missions/D05_highland_approach.md#o043--remote-service-link,Planned,Pending,Pending,Pending,Pending,
operation.o044,O044,Pass Supply Run,district.operations.d05,Highland Approach,4,ESCORT,scenario.operations.o044,opmap.operations.highland_approach,FP_SERVICE,EP_RAIDERS,1020,Any attempt of local slot 1 or 2,0,1145,B30,Missions/D05_highland_approach.md#o044--pass-supply-run,Planned,Pending,Pending,Pending,Pending,
operation.o045,O045,Outpost Evacuation,district.operations.d05,Highland Approach,5,AIRLIFT,scenario.operations.o045,opmap.operations.highland_approach,FP_AIR,EP_AIRFIELD,1080,Any attempt of local slot 1 or 2,0,1146,B30,Missions/D05_highland_approach.md#o045--outpost-evacuation,Planned,Pending,Pending,Pending,Pending,
operation.o046,O046,Relay Compound,district.operations.d05,Highland Approach,6,BREACH,scenario.operations.o046,opmap.operations.highland_approach,FP_GROUND,EP_MECHANIZED,1080,Two Victories among local slots 1â€“5,40,1147,B60,Missions/D05_highland_approach.md#o046--relay-compound,Planned,Pending,Pending,Pending,Pending,
operation.o047,O047,Pass Denial,district.operations.d05,Highland Approach,7,INTERDICT,scenario.operations.o047,opmap.operations.highland_approach,FP_GROUND,EP_MECHANIZED,960,Two Victories among local slots 1â€“5,0,1148,B60,Missions/D05_highland_approach.md#o047--pass-denial,Planned,Pending,Pending,Pending,Pending,
operation.o048,O048,Observation Posts,district.operations.d05,Highland Approach,8,SEIZE,scenario.operations.o048,opmap.operations.highland_approach,FP_GROUND,EP_MECHANIZED,1020,Two Victories among local slots 1â€“5,0,1149,B60,Missions/D05_highland_approach.md#o048--observation-posts,Planned,Pending,Pending,Pending,Pending,
operation.o049,O049,Remote Aid Watch,district.operations.d05,Highland Approach,9,DEFENSE,scenario.operations.o049,opmap.operations.highland_approach,FP_GROUND,EP_MECHANIZED,1080,Two Victories among local slots 1â€“5,0,1150,B60,Missions/D05_highland_approach.md#o049--remote-aid-watch,Planned,Pending,Pending,Pending,Pending,
operation.o050,O050,Highland Connection,district.operations.d05,Highland Approach,10,FINALE,scenario.operations.o050,opmap.operations.highland_approach,FP_COMBINED,EP_FINALE,1200,Victory O043/O046/O049,0,1151,B60,Missions/D05_highland_approach.md#o050--highland-connection,Planned,Pending,Pending,Pending,Pending,
operation.o051,O051,Perimeter Radar Check,district.operations.d06,Airport Perimeter,1,RECON,scenario.operations.o051,opmap.operations.airport_perimeter,FP_LIGHT,EP_CELL,840,Start: no mission prerequisite,0,1152,B12,Missions/D06_airport_perimeter.md#o051--perimeter-radar-check,Planned,Pending,Pending,Pending,Pending,
operation.o052,O052,Terminal Ground Evacuation,district.operations.d06,Airport Perimeter,2,RESCUE,scenario.operations.o052,opmap.operations.airport_perimeter,FP_SERVICE,EP_RAIDERS,1020,Start: no mission prerequisite,0,1153,B30,Missions/D06_airport_perimeter.md#o052--terminal-ground-evacuation,Planned,Pending,Pending,Pending,Pending,
operation.o053,O053,Air Access Service,district.operations.d06,Airport Perimeter,3,REPAIR,scenario.operations.o053,opmap.operations.airport_perimeter,FP_SERVICE,EP_RAIDERS,1020,Any attempt of local slot 1 or 2,0,1154,B30,Missions/D06_airport_perimeter.md#o053--air-access-service,Planned,Pending,Pending,Pending,Pending,
operation.o054,O054,Perimeter Supply Convoy,district.operations.d06,Airport Perimeter,4,ESCORT,scenario.operations.o054,opmap.operations.airport_perimeter,FP_SERVICE,EP_RAIDERS,1020,Any attempt of local slot 1 or 2,0,1155,B30,Missions/D06_airport_perimeter.md#o054--perimeter-supply-convoy,Planned,Pending,Pending,Pending,Pending,
operation.o055,O055,Control Office Records,district.operations.d06,Airport Perimeter,5,RAID,scenario.operations.o055,opmap.operations.airport_perimeter,FP_LIGHT,EP_CELL,900,Any attempt of local slot 1 or 2,40,1156,B30,Missions/D06_airport_perimeter.md#o055--control-office-records,Planned,Pending,Pending,Pending,Pending,
operation.o056,O056,Hangar Strongpoint,district.operations.d06,Airport Perimeter,6,BREACH,scenario.operations.o056,opmap.operations.airport_perimeter,FP_GROUND,EP_MECHANIZED,1080,Two Victories among local slots 1â€“5,40,1157,B60,Missions/D06_airport_perimeter.md#o056--hangar-strongpoint,Planned,Pending,Pending,Pending,Pending,
operation.o057,O057,Landing Zone Pair,district.operations.d06,Airport Perimeter,7,SEIZE,scenario.operations.o057,opmap.operations.airport_perimeter,FP_GROUND,EP_AIRFIELD,1020,Two Victories among local slots 1â€“5,0,1158,B60,Missions/D06_airport_perimeter.md#o057--landing-zone-pair,Planned,Pending,Pending,Pending,Pending,
operation.o058,O058,Air Bridge Evacuation,district.operations.d06,Airport Perimeter,8,AIRLIFT,scenario.operations.o058,opmap.operations.airport_perimeter,FP_AIR,EP_AIRFIELD,1080,Two Victories among local slots 1â€“5,0,1159,B60,Missions/D06_airport_perimeter.md#o058--air-bridge-evacuation,Planned,Pending,Pending,Pending,Pending,
operation.o059,O059,Runway Service Defense,district.operations.d06,Airport Perimeter,9,DEFENSE,scenario.operations.o059,opmap.operations.airport_perimeter,FP_GROUND,EP_MECHANIZED,1080,Two Victories among local slots 1â€“5,0,1160,B60,Missions/D06_airport_perimeter.md#o059--runway-service-defense,Planned,Pending,Pending,Pending,Pending,
operation.o060,O060,Airport Reopened,district.operations.d06,Airport Perimeter,10,FINALE,scenario.operations.o060,opmap.operations.airport_perimeter,FP_COMBINED,EP_FINALE,1200,Victory O053/O056/O059,0,1161,B60,Missions/D06_airport_perimeter.md#o060--airport-reopened,Planned,Pending,Pending,Pending,Pending,
